Time,NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Pressure,Air_Temperature,Relative_Humidity
2020-05-06 13:00:00,1.646,3.425,5.072,38.173,13.57,9.732,3.834,991.865,12.071,29.295
2020-05-06 14:00:00,1.397,3.086,4.483,39.447,14.779,10.735,4.045,991.566,12.162,29.102
2020-05-06 15:00:00,1.237,2.699,3.905,40.509,12.838,8.89,3.945,991.147,12.286,28.184
2020-05-06 16:00:00,1.49,3.941,5.639,40.473,15.705,11.404,4.303,990.687,12.375,27.602
2020-05-06 17:00:00,1.91,5.132,6.875,40.592,19.672,15.035,4.628,990.413,12.848,26.503
2020-05-06 18:00:00,2.493,7.458,9.555,39.162,21.342,16.181,5.17,990.414,12.15,27.662
2020-05-06 19:00:00,1.458,10.777,12.126,35.057,16.456,11.442,5.01,990.579,11.4,28.912
2020-05-06 20:00:00,0.397,3.695,4.078,38.341,13.062,9.67,3.4,991.122,10.556,26.898
2020-05-06 21:00:00,0.318,4.479,4.797,36.087,10.369,7.124,3.245,991.351,9.064,28.356
2020-05-06 22:00:00,0.357,4.094,4.451,35.947,8.113,4.888,3.227,991.279,8.395,29.114
2020-05-06 23:00:00,0.589,4.937,5.661,33.951,8.608,5.214,3.394,990.925,7.743,31.907
2020-05-07 00:00:00,0.532,6.606,7.138,31.796,9.184,5.565,3.622,990.519,7.417,33.219
2020-05-07 01:00:00,0.113,8.106,8.218,29.349,9.143,5.378,3.766,989.955,6.536,35.511
2020-05-07 02:00:00,0.475,7.98,8.455,29.023,7.66,3.978,3.681,989.391,6.09,36.058
2020-05-07 03:00:00,0.535,13.045,13.58,22.883,7.956,4.215,3.737,989.053,5.316,38.218
2020-05-07 04:00:00,0.282,10.361,10.642,27.075,7.717,4.217,3.495,988.862,5.246,36.573
2020-05-07 05:00:00,1.281,11.635,13.53,25.819,9.659,6.333,3.324,988.538,5.026,36.191
2020-05-07 06:00:00,1.165,12.28,13.445,26.966,11.403,7.853,3.55,988.534,6.079,33.523
2020-05-07 07:00:00,2.062,9.643,11.705,29.966,18.576,14.402,4.165,988.65,8.702,31.587
2020-05-07 08:00:00,1.49,5.84,7.33,33.958,19.255,15.051,4.208,988.487,9.368,35.401
2020-05-07 09:00:00,1.416,4.326,5.742,38.204,14.827,10.794,4.025,988.001,10.972,33.123
2020-05-07 10:00:00,1.113,2.822,3.973,41.941,11.604,7.903,3.704,987.423,13.108,28.249
2020-05-07 11:00:00,0.884,2.95,3.834,39.542,12.951,9.102,3.848,987.304,11.947,34.442
2020-05-07 12:00:00,1.798,3.942,5.5,38.558,15.058,10.865,4.194,986.725,12.181,38.779
2020-05-07 13:00:00,0.942,3.37,4.312,37.644,19.132,14.478,4.654,986.804,9.395,54.695
2020-05-07 14:00:00,0.961,3.366,4.326,35.208,9.371,4.916,4.454,987.108,5.601,73.748
2020-05-07 15:00:00,1.267,3.162,4.399,36.219,7.71,3.865,3.845,987.213,6.306,72.938
2020-05-07 16:00:00,1.228,2.475,3.703,36.99,7.26,3.606,3.656,986.994,8.816,57.961
2020-05-07 17:00:00,0.77,1.732,2.502,36.944,7.788,4.163,3.621,987.298,9.587,44.481
2020-05-07 18:00:00,0.567,1.805,2.372,36.487,8.605,4.837,3.771,987.606,9.182,42.484
2020-05-07 19:00:00,0.409,2.088,2.497,36.684,7.325,3.685,3.646,987.834,8.064,40.318
2020-05-07 20:00:00,0.325,2.358,2.683,34.874,6.431,2.974,3.459,988.696,6.071,42.591
2020-05-07 21:00:00,0.263,4.161,4.424,30.382,7.325,3.665,3.654,989.244,4.624,49.633
2020-05-07 22:00:00,0.539,5.787,6.319,28.889,9.195,5.14,4.056,989.412,3.716,54.504
2020-05-07 23:00:00,0.496,6.334,6.829,28.621,8.489,4.515,3.973,989.812,3.228,56.736
2020-05-08 00:00:00,0.785,10.531,11.319,22.779,8.484,4.214,4.275,989.967,2.518,59.408
2020-05-08 01:00:00,0.168,5.56,5.723,30.115,5.833,2.598,3.236,989.766,2.017,49.539
2020-05-08 02:00:00,0.241,2.642,2.883,32.285,4.506,2.275,2.23,989.423,0.893,51.046
2020-05-08 03:00:00,0.296,3.719,3.975,30.199,4.922,2.611,2.306,989.162,0.179,57.078
2020-05-08 04:00:00,0.637,5.52,5.939,26.983,4.858,2.425,2.432,989.075,-0.158,61.889
2020-05-08 05:00:00,1.103,3.892,4.994,29.1,4.534,2.562,1.971,989.227,-0.376,62.287
2020-05-08 06:00:00,1.131,3.749,4.88,28.675,6.339,4.2,2.135,989.109,0.233,57.518
2020-05-08 07:00:00,2.163,3.431,5.612,28.575,4.428,2.792,1.634,989.304,0.71,49.061
2020-05-08 08:00:00,1.235,2.22,3.587,28.858,6.672,5.136,1.533,989.686,1.413,40.096
2020-05-08 09:00:00,1.677,2.296,3.96,28.439,6.399,5.06,1.34,989.907,3.178,34.725
2020-05-08 10:00:00,1.234,1.7,2.934,29.437,6.03,4.654,1.377,989.432,4.573,32.87
2020-05-08 11:00:00,1.376,1.438,2.76,29.86,7.777,6.162,1.614,989.043,6,31.073
2020-05-08 12:00:00,1.419,1.977,3.396,29.225,8.652,6.765,1.885,989.062,5.886,31.808
2020-05-08 13:00:00,1.958,1.951,3.858,29.264,10.016,8.246,1.765,988.812,5.454,31.413
2020-05-08 14:00:00,1.135,1.616,2.751,29.985,11.266,9.393,1.877,988.615,6.052,30.078
2020-05-08 15:00:00,1.152,1.687,2.839,29.776,10.15,7.958,2.192,988.635,5.018,30.143
2020-05-08 16:00:00,1.07,1.404,2.474,30.149,11.668,9.242,2.426,988.49,5.116,30.041
2020-05-08 17:00:00,1.018,1.345,2.363,30.443,11.972,9.536,2.435,988.889,4.876,25.481
2020-05-08 18:00:00,0.756,1.257,2.014,30.649,7.962,6.113,1.842,989.337,3.331,26.93
2020-05-08 19:00:00,0.536,1.272,1.808,30.919,6.53,4.539,1.991,989.78,0.872,33.405
2020-05-08 20:00:00,0.538,1.799,2.336,29.804,5.375,3.49,1.886,990.346,-0.409,39.233
2020-05-08 21:00:00,0.484,1.939,2.422,27.133,5.073,3.641,1.433,991.088,-1.169,44.357
2020-05-08 22:00:00,0.494,2.545,3.039,24.891,2.937,1.578,1.358,991.548,-1.622,49.243
2020-05-08 23:00:00,0.619,2.951,3.57,23.954,6.951,5.36,1.6,991.803,-2.157,61.678
2020-05-09 00:00:00,0.436,3.445,3.882,22.415,5.893,4.223,1.673,991.929,-3.078,69.924
2020-05-09 01:00:00,0.206,4.209,4.416,22.012,3.006,1.679,1.328,991.892,-3.01,69.356
2020-05-09 02:00:00,0.383,3.759,4.141,21.42,2.541,1.144,1.401,991.926,-2.861,67.046
2020-05-09 03:00:00,0.557,5.647,6.204,18.485,2.965,1.567,1.399,991.671,-3.451,67.326
2020-05-09 04:00:00,0.675,6.645,7.32,16.89,2.844,1.47,1.376,991.662,-3.78,70.729
2020-05-09 05:00:00,0.925,8.11,9.035,15.089,4.206,2.713,1.498,991.69,-3.873,69.979
2020-05-09 06:00:00,1.919,10.633,12.552,13.769,4.59,2.861,1.73,992.031,-3.244,67.485
2020-05-09 07:00:00,3.399,8.788,12.566,15.987,5.894,3.634,2.257,992.323,-1.746,63.768
2020-05-09 08:00:00,2.874,6.598,9.348,18.694,7.156,4.634,2.521,992.166,-0.831,63.214
2020-05-09 09:00:00,1.763,3.196,4.939,24.475,6.098,3.702,2.394,991.865,0.202,62.41
2020-05-09 10:00:00,1.089,1.786,2.874,29.125,7.965,5.696,2.272,991.507,1.902,55.177
2020-05-09 11:00:00,0.965,1.476,2.436,32.259,9.779,7.159,2.621,991.357,2.802,49.507
2020-05-09 12:00:00,1.007,1.535,2.542,31.521,10.575,7.964,2.616,991.961,1.479,64.722
2020-05-09 13:00:00,0.903,1.352,2.255,32.721,4.003,1.893,2.108,992.205,3.973,49.733
2020-05-09 14:00:00,0.723,0.98,1.703,33.76,7.357,5.557,1.801,992.502,3.94,46.356
2020-05-09 15:00:00,0.655,1.104,1.76,34.613,6.62,4.863,1.755,992.573,4.764,38.514
2020-05-09 16:00:00,0.766,1.444,2.21,35.04,6.092,4.412,1.681,992.866,4.141,39.684
2020-05-09 17:00:00,0.524,1.327,1.851,36.751,6.112,4.603,1.507,993.221,4.195,40.668
2020-05-09 18:00:00,0.403,1.415,1.819,38.549,7.606,5.673,1.942,993.357,4.291,40.838
2020-05-09 19:00:00,0.486,1.85,2.563,39.169,4.891,2.63,2.254,993.501,4.099,41.689
2020-05-09 20:00:00,0.364,1.856,2.296,40.605,4.995,2.725,2.272,994.028,3.392,44.08
2020-05-09 21:00:00,0.474,3.394,3.87,38.625,3.7,1.581,2.118,994.645,2.993,45.541
2020-05-09 22:00:00,0.397,4.756,5.153,36.41,3.784,1.566,2.219,994.851,2.095,48.381
2020-05-09 23:00:00,0.386,4.641,5.026,35.574,4.676,2.179,2.494,994.682,1.257,54.458
2020-05-10 00:00:00,0.596,7.127,7.763,32.632,4.868,2.102,2.768,994.794,0.923,56.991
2020-05-10 01:00:00,0.279,9.934,10.211,28.928,6.455,2.981,3.473,995.006,1.16,57.246
2020-05-10 02:00:00,0.269,7.497,7.765,32.321,5.521,2.233,3.284,995.022,1.789,53.943
2020-05-10 03:00:00,0.239,5.347,5.585,34.024,5.554,2.51,3.042,994.853,1.847,53.297
2020-05-10 04:00:00,0.234,5.967,6.201,32.318,5.524,2.376,3.146,994.61,1.723,54.375
2020-05-10 05:00:00,0.484,8.801,9.285,28.266,6.177,2.892,3.283,994.28,0.93,57.388
2020-05-10 06:00:00,0.937,11.601,12.538,24.73,6.111,2.64,3.47,994.481,0.715,58.72
2020-05-10 07:00:00,1.377,6.558,7.935,30.665,5.943,2.523,3.421,994.556,2.459,54.218
2020-05-10 08:00:00,1.102,5.313,6.415,35.099,5.116,1.925,3.191,994.533,3.824,51.346
2020-05-10 09:00:00,0.809,3.033,3.843,37.744,5.196,2.325,2.865,994.151,5.078,47.954
2020-05-10 10:00:00,0.968,4.19,5.2,36.433,5.921,2.635,3.286,994.281,4.907,48.294
2020-05-10 11:00:00,1.071,5.814,6.885,33.913,8.221,4.249,3.973,994.243,4.241,62.986
2020-05-10 12:00:00,1.14,5.763,6.856,34.666,9.435,4.643,4.79,994.018,4.353,62.769
2020-05-10 13:00:00,1.843,6.609,8.52,31.987,9.192,4.04,5.152,993.53,5.073,70.702
2020-05-10 14:00:00,1.389,5.966,7.355,31.663,9.915,4.367,5.55,992.986,5.639,71.812
2020-05-10 15:00:00,0.95,3.878,4.828,36.126,9.438,4.248,5.189,992.594,6.859,66.854
2020-05-10 16:00:00,1.13,3.099,4.229,38.278,8.18,3.426,4.754,992.099,8.611,61.145
2020-05-10 17:00:00,0.667,3.536,4.203,35.757,8.806,3.81,4.997,991.835,7.422,63.252
2020-05-10 18:00:00,0.509,4.116,4.625,34.363,9.455,4.038,5.418,991.922,6.296,68.921
2020-05-10 19:00:00,0.369,4.195,4.563,32.172,9.164,3.692,5.472,991.847,6.126,70.426
2020-05-10 20:00:00,0.329,4.66,4.989,31.806,8.801,2.968,5.832,991.669,5.468,71.906
2020-05-10 21:00:00,0.514,4.357,4.583,31.323,9.3,3.323,5.978,991.706,4.735,73.618
2020-05-10 22:00:00,0.39,3.571,3.936,31.464,8.314,2.777,5.537,991.621,4.442,73.569
2020-05-10 23:00:00,0.382,2.953,3.335,32.296,5.007,1.392,3.615,991.234,3.836,73.449
2020-05-11 00:00:00,0.675,4.16,4.836,30.447,5.511,2.06,3.451,990.926,3.833,71.057
2020-05-11 01:00:00,0.696,4.687,5.379,31.324,3.949,1.067,2.882,990.717,3.652,63.563
2020-05-11 02:00:00,0.687,4.529,5.216,29.692,4.29,1.382,2.909,990.45,3.155,68.212
2020-05-11 03:00:00,1.66,5.077,6.641,29.479,4.511,1.55,2.961,990.262,2.351,75.361
2020-05-11 04:00:00,1.183,6.5,7.683,26.087,5.04,1.383,3.659,990.063,1.354,80.135
2020-05-11 05:00:00,1.681,5.854,7.535,26.541,5.77,1.735,4.035,989.948,0.825,83.546
2020-05-11 06:00:00,2.237,7.351,9.588,24.938,6.014,2.16,3.855,990.328,0.845,84.534
2020-05-11 07:00:00,3.458,10.789,14.247,21.973,5.78,2.019,3.761,990.733,0.815,83.782
2020-05-11 08:00:00,3.112,7.987,11.098,23.705,5.73,1.978,3.752,991.156,1.102,83.729
2020-05-11 09:00:00,4.192,5.908,10.149,24.408,7.635,3.479,4.155,991.658,2.284,81.719
2020-05-11 10:00:00,9.265,6.341,15.527,23.257,19.853,10.81,9.035,992.215,3.47,79.388
