Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m]
07/24/2020 00:00:44,23.05,61.57,2.2,3.3,3.3,37.87,1.427050,102.05,1.417267,99987.3,---,---,---
07/24/2020 00:01:44,23.02,61.81,2.2,3.4,3.4,38.26,1.427039,97.90,1.417297,99985.3,---,---,---
07/24/2020 00:02:45,23.02,61.81,2.2,3.3,3.4,38.20,1.427041,96.99,1.417304,99988.9,---,---,---
07/24/2020 00:03:44,23.01,61.78,2.2,3.3,3.4,37.01,1.427065,93.49,1.417330,99989.2,---,---,---
07/24/2020 00:04:44,22.99,61.92,2.3,3.3,3.4,37.20,1.427060,94.68,1.417319,99992.0,---,---,---
07/24/2020 00:05:44,22.97,61.99,2.4,3.5,3.6,38.85,1.427022,92.75,1.417332,99991.3,---,---,---
07/24/2020 00:06:44,22.93,62.10,2.5,3.6,3.7,37.43,1.427050,96.12,1.417304,99993.3,---,---,---
07/24/2020 00:07:44,22.91,62.18,2.6,3.6,3.7,38.35,1.427029,95.09,1.417310,99991.8,---,---,---
07/24/2020 00:08:44,22.89,62.24,2.5,3.5,3.9,40.78,1.426975,98.99,1.417278,99990.7,---,---,---
07/24/2020 00:09:44,22.85,62.42,2.5,3.5,3.9,40.63,1.426974,96.09,1.417298,99990.7,---,---,---
07/24/2020 00:10:44,22.82,62.57,2.6,3.6,4.0,39.15,1.427003,95.28,1.417301,99993.9,---,---,---
07/24/2020 00:11:44,22.78,62.66,2.7,3.7,4.1,39.62,1.426990,91.26,1.417330,99993.6,---,---,---
07/24/2020 00:12:44,22.79,62.72,2.7,3.8,4.1,39.87,1.426986,92.86,1.417318,99996.3,---,---,---
07/24/2020 00:13:45,22.81,62.74,2.8,3.9,4.1,38.62,1.427014,92.81,1.417320,99998.8,---,---,---
07/24/2020 00:14:44,22.76,62.74,2.7,4.0,4.1,37.80,1.427028,91.73,1.417325,99999.2,---,---,---
07/24/2020 00:15:44,22.74,62.82,2.7,3.9,4.1,37.69,1.427028,95.25,1.417296,100002.5,---,---,---
07/24/2020 00:16:44,22.75,62.89,2.7,3.9,4.1,38.14,1.427020,94.65,1.417301,100003.3,---,---,---
07/24/2020 00:17:44,22.74,62.89,2.8,4.0,4.2,37.97,1.427022,93.68,1.417308,100003.7,---,---,---
07/24/2020 00:18:44,22.72,62.95,2.7,3.8,4.2,37.66,1.427027,94.60,1.417299,100004.4,---,---,---
07/24/2020 00:19:44,22.72,62.95,2.7,3.9,4.1,37.74,1.427026,96.43,1.417285,100006.6,---,---,---
07/24/2020 00:20:44,22.72,63.06,2.7,3.9,4.1,38.02,1.427019,94.03,1.417304,100004.9,---,---,---
07/24/2020 00:21:44,22.70,63.12,2.7,3.9,4.2,37.32,1.427033,98.87,1.417265,100004.1,---,---,---
07/24/2020 00:22:44,22.69,63.03,2.6,3.8,4.1,37.06,1.427037,100.74,1.417250,100005.5,---,---,---
07/24/2020 00:23:44,22.71,63.03,2.8,3.9,4.2,37.91,1.427021,99.71,1.417259,100008.9,---,---,---
07/24/2020 00:24:45,22.70,63.09,2.8,4.0,4.3,38.43,1.427009,101.18,1.417247,100004.9,---,---,---
07/24/2020 00:25:44,22.67,63.18,2.9,4.1,4.4,36.82,1.427041,101.75,1.417240,100004.5,---,---,---
07/24/2020 00:26:44,22.64,63.21,2.9,4.2,4.4,37.52,1.427024,100.60,1.417247,99998.3,---,---,---
07/24/2020 00:27:44,22.63,63.27,2.9,4.3,4.4,38.13,1.427010,101.26,1.417242,100002.9,---,---,---
07/24/2020 00:28:44,22.61,63.41,3.0,4.4,4.4,36.53,1.427043,100.61,1.417245,100002.4,---,---,---
07/24/2020 00:29:44,22.59,63.59,3.0,4.3,4.3,37.67,1.427017,97.90,1.417265,100004.9,---,---,---
07/24/2020 00:30:44,22.59,63.53,3.0,4.1,4.2,39.73,1.426973,97.57,1.417268,100009.4,---,---,---
07/24/2020 00:31:44,22.57,63.53,3.0,4.0,4.1,39.71,1.426972,101.39,1.417237,100007.9,---,---,---
07/24/2020 00:32:44,22.57,63.62,2.9,4.0,4.1,40.11,1.426963,99.34,1.417253,100010.7,---,---,---
