Timestamp,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m]
08/19/2020 00:00:10,18.68,53.69,0.2,0.5,0.6,31.46,1.422789,95.43,1.425940,99505.0,---,---,---
08/19/2020 00:01:10,18.69,53.62,0.2,0.4,0.5,33.35,1.422754,96.97,1.425932,99505.7,---,---,---
08/19/2020 00:02:10,18.68,53.80,0.2,0.5,0.6,34.86,1.422725,99.79,1.425915,99505.6,---,---,---
08/19/2020 00:03:10,18.69,53.85,0.2,0.6,0.6,34.21,1.422738,97.93,1.425926,99503.7,---,---,---
08/19/2020 00:04:10,18.71,53.69,0.2,0.6,0.6,34.61,1.422732,97.21,1.425931,99506.7,---,---,---
08/19/2020 00:05:10,18.71,53.72,0.2,0.5,0.6,33.41,1.422755,100.41,1.425912,99504.0,---,---,---
08/19/2020 00:06:10,18.69,53.74,0.2,0.6,0.6,32.35,1.422773,98.45,1.425923,99504.0,---,---,---
08/19/2020 00:07:11,18.66,53.83,0.1,0.5,0.5,31.82,1.422781,95.73,1.425938,99511.0,---,---,---
08/19/2020 00:08:10,18.62,54.01,0.2,0.4,0.5,31.23,1.422789,96.42,1.425933,99508.5,---,---,---
08/19/2020 00:09:10,18.59,54.03,0.3,0.5,0.5,30.44,1.422802,96.92,1.425929,99513.6,---,---,---
08/19/2020 00:10:10,18.56,54.09,0.3,0.6,0.6,32.35,1.422763,98.49,1.425919,99509.0,---,---,---
08/19/2020 00:11:10,18.56,54.03,0.4,0.6,0.6,32.44,1.422762,101.00,1.425905,99513.7,---,---,---
08/19/2020 00:12:10,18.55,54.03,0.4,0.6,0.7,32.52,1.422759,101.02,1.425904,99512.8,---,---,---
08/19/2020 00:13:10,18.54,54.06,0.4,0.7,0.8,34.38,1.422724,101.13,1.425904,99511.9,---,---,---
08/19/2020 00:14:10,18.52,54.15,0.4,0.7,0.7,37.34,1.422666,101.05,1.425903,99509.6,---,---,---
08/19/2020 00:15:10,18.54,54.20,0.3,0.7,0.7,35.93,1.422694,98.56,1.425918,99510.0,---,---,---
08/19/2020 00:16:10,18.55,54.20,0.3,0.7,0.7,35.57,1.422702,98.64,1.425918,99511.8,---,---,---
08/19/2020 00:17:10,18.55,54.12,0.4,0.7,0.8,35.87,1.422696,99.34,1.425914,99515.1,---,---,---
08/19/2020 00:18:11,18.55,54.03,0.3,0.7,0.7,34.92,1.422714,97.51,1.425925,99513.2,---,---,---
08/19/2020 00:19:10,18.55,53.98,0.4,0.7,0.7,32.97,1.422751,97.06,1.425927,99507.3,---,---,---
08/19/2020 00:20:10,18.53,54.17,0.3,0.6,0.7,33.38,1.422742,96.75,1.425929,99509.4,---,---,---
08/19/2020 00:21:10,18.50,54.38,0.3,0.6,0.6,32.60,1.422754,95.76,1.425933,99513.5,---,---,---
08/19/2020 00:22:10,18.47,54.46,0.3,0.6,0.6,32.32,1.422758,96.51,1.425929,99512.2,---,---,---
08/19/2020 00:23:10,18.44,54.59,0.3,0.7,0.7,31.88,1.422764,97.32,1.425923,99509.9,---,---,---
08/19/2020 00:24:10,18.40,54.75,0.3,0.7,0.8,31.34,1.422771,99.98,1.425907,99509.1,---,---,---
08/19/2020 00:25:10,18.37,54.61,0.4,0.8,0.8,31.67,1.422762,99.58,1.425908,99510.3,---,---,---
08/19/2020 00:26:10,18.35,54.64,0.4,0.8,0.9,32.54,1.422744,99.07,1.425910,99507.2,---,---,---
08/19/2020 00:27:10,18.32,54.64,0.3,0.8,0.9,32.45,1.422744,99.55,1.425907,99509.3,---,---,---
08/19/2020 00:28:10,18.30,55.04,0.3,0.7,0.8,31.74,1.422756,101.53,1.425895,99509.6,---,---,---
08/19/2020 00:29:11,18.28,54.90,0.3,0.8,0.8,32.03,1.422749,98.60,1.425911,99511.0,---,---,---
08/19/2020 00:30:10,18.26,54.85,0.4,0.9,0.9,33.88,1.422712,100.91,1.425897,99510.0,---,---,---
08/19/2020 00:31:10,18.27,54.88,0.5,0.9,1.0,33.56,1.422719,101.89,1.425892,99513.5,---,---,---
08/19/2020 00:32:10,18.26,55.02,0.6,1.0,1.0,34.43,1.422702,99.16,1.425907,99521.4,---,---,---
08/19/2020 00:33:10,18.27,54.88,0.7,1.1,1.1,36.15,1.422670,97.19,1.425919,99517.8,---,---,---
08/19/2020 00:34:10,18.28,55.10,0.7,1.1,1.1,35.60,1.422682,97.84,1.425916,99516.7,---,---,---
08/19/2020 00:35:10,18.29,54.99,0.7,1.2,1.2,31.87,1.422753,97.88,1.425916,99518.1,---,---,---
08/19/2020 00:36:10,18.28,54.96,0.7,1.2,1.2,32.04,1.422749,99.22,1.425908,99516.7,---,---,---
08/19/2020 00:37:10,18.24,55.05,0.7,1.2,1.3,30.35,1.422777,100.86,1.425897,99517.9,---,---,---
08/19/2020 00:38:10,18.22,55.10,0.7,1.2,1.2,29.42,1.422793,102.32,1.425888,99515.4,---,---,---
08/19/2020 00:39:10,18.16,55.34,0.8,1.3,1.3,30.14,1.422776,104.40,1.425875,99514.8,---,---,---
08/19/2020 00:40:11,18.14,55.57,0.7,1.2,1.3,31.50,1.422748,104.76,1.425872,99518.2,---,---,---
08/19/2020 00:41:10,18.14,55.51,0.7,1.1,1.2,33.59,1.422709,102.29,1.425886,99518.4,---,---,---
08/19/2020 00:42:10,18.13,55.60,0.6,1.1,1.3,33.02,1.422719,102.48,1.425885,99518.1,---,---,---
08/19/2020 00:43:10,18.10,55.60,0.6,1.1,1.3,33.56,1.422706,102.57,1.425884,99516.1,---,---,---
08/19/2020 00:44:10,18.07,55.55,0.5,0.9,1.0,32.97,1.422715,100.96,1.425892,99514.8,---,---,---
08/19/2020 00:45:10,18.05,55.60,0.5,0.9,1.0,34.36,1.422687,100.90,1.425892,99515.2,---,---,---
08/19/2020 00:46:10,18.05,55.66,0.5,0.9,1.0,33.06,1.422712,102.28,1.425884,99516.1,---,---,---
08/19/2020 00:47:10,18.03,55.78,0.5,0.9,1.0,35.15,1.422672,100.45,1.425894,99521.0,---,---,---
08/19/2020 00:48:10,18.03,55.75,0.4,0.8,0.8,36.23,1.422651,100.86,1.425892,99519.6,---,---,---
08/19/2020 00:49:10,18.05,55.98,0.5,0.9,0.9,35.57,1.422665,101.83,1.425887,99523.3,---,---,---
08/19/2020 00:50:10,18.06,55.78,0.5,0.8,0.8,35.58,1.422665,102.01,1.425886,99518.3,---,---,---
08/19/2020 00:51:11,18.06,55.72,0.5,0.8,0.8,34.57,1.422684,103.20,1.425879,99517.9,---,---,---
08/19/2020 00:52:10,18.05,55.66,0.5,0.8,0.8,34.46,1.422686,105.30,1.425866,99523.0,---,---,---
08/19/2020 00:53:10,18.06,55.72,0.6,0.8,0.8,33.65,1.422702,104.37,1.425872,99520.9,---,---,---
08/19/2020 00:54:10,18.02,55.95,0.6,0.9,0.9,33.70,1.422698,104.06,1.425873,99516.8,---,---,---
08/19/2020 00:55:10,17.98,55.98,0.6,0.9,1.0,31.90,1.422729,102.65,1.425880,99519.4,---,---,---
08/19/2020 00:56:10,17.95,56.36,0.6,0.9,1.0,32.58,1.422714,102.85,1.425878,99518.9,---,---,---
08/19/2020 00:57:10,17.92,56.29,0.6,1.0,1.1,32.33,1.422716,100.88,1.425889,99516.3,---,---,---
08/19/2020 00:58:10,17.88,56.33,0.6,1.0,1.1,32.06,1.422719,99.43,1.425896,99515.9,---,---,---
08/19/2020 00:59:10,17.86,56.33,0.6,1.1,1.1,31.49,1.422728,98.99,1.425898,99514.6,---,---,---
08/19/2020 01:00:10,17.84,56.33,0.6,1.1,1.2,32.90,1.422700,100.27,1.425890,99521.4,---,---,---
08/19/2020 01:01:10,17.84,56.30,0.7,1.1,1.2,33.68,1.422685,98.13,1.425902,99516.3,---,---,---
08/19/2020 01:02:11,17.84,56.36,0.6,1.0,1.1,33.47,1.422689,101.16,1.425885,99514.2,---,---,---
08/19/2020 01:03:10,17.82,56.59,0.5,1.0,1.1,31.66,1.422722,103.20,1.425873,99517.2,---,---,---
08/19/2020 01:04:10,17.80,56.56,0.5,0.8,1.0,31.46,1.422724,103.18,1.425872,99520.3,---,---,---
08/19/2020 01:05:10,17.78,56.48,0.5,0.8,0.9,31.27,1.422726,102.03,1.425878,99513.8,---,---,---
08/19/2020 01:06:10,17.76,56.62,0.5,1.0,1.1,30.70,1.422735,101.23,1.425882,99512.4,---,---,---
08/19/2020 01:07:10,17.75,56.74,0.6,1.0,1.1,32.27,1.422705,100.64,1.425886,99514.1,---,---,---
08/19/2020 01:08:10,17.72,56.75,0.6,1.0,1.1,34.73,1.422657,102.45,1.425874,99514.2,---,---,---
08/19/2020 01:09:10,17.72,56.97,0.6,1.0,1.2,36.48,1.422624,100.19,1.425888,99515.8,---,---,---
08/19/2020 01:10:10,17.76,56.79,0.6,1.1,1.3,35.78,1.422639,101.27,1.425882,99516.7,---,---,---
08/19/2020 01:11:10,17.77,56.77,0.5,0.9,1.1,34.86,1.422657,102.20,1.425877,99519.5,---,---,---
08/19/2020 01:12:10,17.79,56.62,0.6,1.0,1.2,32.35,1.422706,103.66,1.425869,99522.1,---,---,---
08/19/2020 01:13:11,17.78,56.82,0.6,1.1,1.3,30.91,1.422733,103.27,1.425871,99524.0,---,---,---
08/19/2020 01:14:10,17.73,56.91,0.6,1.1,1.3,30.34,1.422740,107.70,1.425844,99521.3,---,---,---
08/19/2020 01:15:10,17.71,57.09,0.6,1.1,1.1,30.84,1.422729,107.60,1.425844,99524.6,---,---,---
08/19/2020 01:16:10,17.69,57.09,0.5,1.1,1.2,30.10,1.422741,106.70,1.425849,99525.1,---,---,---
08/19/2020 01:17:10,17.67,57.23,0.5,1.0,1.0,30.92,1.422724,104.15,1.425863,99521.6,---,---,---
08/19/2020 01:18:10,17.66,57.17,0.4,0.9,1.0,31.02,1.422722,103.33,1.425868,99522.2,---,---,---
08/19/2020 01:19:10,17.65,57.00,0.5,0.9,1.1,31.74,1.422707,103.06,1.425869,99525.5,---,---,---
08/19/2020 01:20:10,17.63,57.17,0.5,0.9,1.2,30.18,1.422735,103.85,1.425864,99523.9,---,---,---
08/19/2020 01:21:10,17.64,57.17,0.6,0.9,1.2,31.56,1.422710,107.70,1.425842,99522.8,---,---,---
08/19/2020 01:22:10,17.63,57.26,0.5,1.0,1.2,32.38,1.422694,109.25,1.425833,99524.9,---,---,---
08/19/2020 01:23:10,17.62,57.17,0.6,1.0,1.2,33.14,1.422678,109.23,1.425832,99524.4,---,---,---
08/19/2020 01:24:11,17.60,57.23,0.5,0.9,1.0,31.72,1.422704,107.19,1.425844,99526.2,---,---,---
08/19/2020 01:25:10,17.58,57.35,0.5,1.0,1.1,33.21,1.422675,105.79,1.425851,99524.4,---,---,---
08/19/2020 01:26:10,17.56,57.38,0.5,1.0,1.0,32.31,1.422690,104.11,1.425861,99526.6,---,---,---
08/19/2020 01:27:10,17.55,57.42,0.6,0.9,1.0,31.83,1.422698,103.14,1.425866,99526.7,---,---,---
08/19/2020 01:28:10,17.54,57.47,0.5,0.9,1.0,33.22,1.422671,103.06,1.425866,99523.7,---,---,---
08/19/2020 01:29:10,17.53,57.50,0.6,1.1,1.1,33.71,1.422661,105.27,1.425853,99525.0,---,---,---
08/19/2020 01:30:10,17.52,57.53,0.7,1.1,1.2,33.62,1.422662,103.45,1.425863,99523.8,---,---,---
08/19/2020 01:31:10,17.52,57.47,0.6,1.1,1.2,33.33,1.422668,105.10,1.425854,99522.7,---,---,---
08/19/2020 01:32:10,17.53,57.36,0.7,1.2,1.2,33.47,1.422666,102.20,1.425871,99517.7,---,---,---
08/19/2020 01:33:10,17.51,57.42,0.7,1.1,1.2,32.01,1.422692,100.20,1.425882,99524.3,---,---,---
08/19/2020 01:34:10,17.50,57.39,0.6,1.0,1.1,31.77,1.422695,100.43,1.425880,99520.5,---,---,---
08/19/2020 01:35:11,17.47,57.50,0.6,1.0,1.1,29.56,1.422735,98.70,1.425889,99523.7,---,---,---
